139.162.87.250 - - [09/Mar/2018:00:08:26 +0000] "GET / HTTP/1.1" 200 11250
67.175.4.167 - - [09/Mar/2018:02:46:42 +0000] "GET / HTTP/1.1" 200 11250
67.175.4.167 - - [09/Mar/2018:02:46:42 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
67.175.4.167 - - [09/Mar/2018:02:46:42 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
67.175.4.167 - - [09/Mar/2018:02:46:43 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
67.175.4.167 - - [09/Mar/2018:02:46:43 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
67.175.4.167 - - [09/Mar/2018:02:46:43 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
67.175.4.167 - - [09/Mar/2018:02:46:43 +0000] "GET /bg-button.png HTTP/1.1" 200 713
67.175.4.167 - - [09/Mar/2018:02:46:43 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
67.175.4.167 - - [09/Mar/2018:02:46:43 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
67.175.4.167 - - [09/Mar/2018:02:46:47 +0000] "GET /webapp HTTP/1.1" 302 -
67.175.4.167 - - [09/Mar/2018:02:46:47 +0000] "GET /webapp/ HTTP/1.1" 200 13
5.39.216.134 - - [09/Mar/2018:16:35:40 +0000] "-" 400 -
5.39.216.134 - - [09/Mar/2018:19:58:24 +0000] "-" 400 -
66.102.6.56 - - [09/Mar/2018:21:02:29 +0000] "GET /webapp/ HTTP/1.1" 200 13
66.102.6.56 - - [09/Mar/2018:21:02:29 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
52.73.75.9 - tomcat [09/Mar/2018:21:49:27 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:21:49:27 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:21:49:27 +0000] "GET /manager/text/undeploy?path=%2Fwebapp HTTP/1.1" 200 65
52.73.75.9 - tomcat [09/Mar/2018:21:49:27 +0000] "PUT /manager/text/deploy?path=%2Fwebapp HTTP/1.1" 200 63
52.73.75.9 - tomcat [09/Mar/2018:22:20:21 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:20:21 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:20:22 +0000] "GET /manager/text/undeploy?path=%2Fwebapp HTTP/1.1" 200 65
52.73.75.9 - tomcat [09/Mar/2018:22:20:22 +0000] "PUT /manager/text/deploy?path=%2Fwebapp HTTP/1.1" 200 63
52.73.75.9 - tomcat [09/Mar/2018:22:20:51 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:20:51 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:20:52 +0000] "GET /manager/text/undeploy?path=%2Fwebapp HTTP/1.1" 200 65
52.73.75.9 - tomcat [09/Mar/2018:22:20:52 +0000] "PUT /manager/text/deploy?path=%2Fwebapp HTTP/1.1" 200 63
52.73.75.9 - tomcat [09/Mar/2018:22:22:36 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:22:36 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:22:37 +0000] "GET /manager/text/undeploy?path=%2Fwebapp HTTP/1.1" 200 65
52.73.75.9 - tomcat [09/Mar/2018:22:22:37 +0000] "PUT /manager/text/deploy?path=%2Fwebapp HTTP/1.1" 200 63
52.73.75.9 - tomcat [09/Mar/2018:22:41:21 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:41:21 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:41:22 +0000] "GET /manager/text/undeploy?path=%2Fwebapp HTTP/1.1" 200 65
52.73.75.9 - tomcat [09/Mar/2018:22:41:22 +0000] "PUT /manager/text/deploy?path=%2Fwebapp HTTP/1.1" 200 63
52.73.75.9 - tomcat [09/Mar/2018:22:49:21 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:49:21 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:49:22 +0000] "GET /manager/text/undeploy?path=%2Fwebapp HTTP/1.1" 200 65
52.73.75.9 - tomcat [09/Mar/2018:22:49:22 +0000] "PUT /manager/text/deploy?path=%2Fwebapp HTTP/1.1" 200 63
52.73.75.9 - tomcat [09/Mar/2018:22:50:31 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:50:31 +0000] "GET /manager/text/list HTTP/1.1" 200 221
52.73.75.9 - tomcat [09/Mar/2018:22:50:32 +0000] "GET /manager/text/undeploy?path=%2Fwebapp HTTP/1.1" 200 65
52.73.75.9 - tomcat [09/Mar/2018:22:50:32 +0000] "PUT /manager/text/deploy?path=%2Fwebapp HTTP/1.1" 200 63
